Covid;date;specie;euros;kgs
No ;02/01/2017;ANE-BOQUERON;830,6;111,69
No ;02/01/2017;PIL-SARDINA;129131,37;54232,49
No ;03/01/2017;ANE-BOQUERON;749,13;77
No ;03/01/2017;PIL-SARDINA;81008,61;45355,49
No ;04/01/2017;PIL-SARDINA;42228,58;21619,01
No ;05/01/2017;ANE-BOQUERON;28,98;6,85
No ;05/01/2017;PIL-SARDINA;15316,52;14922,29
No ;09/01/2017;ANE-BOQUERON;37571,27;7789,89
No ;09/01/2017;PIL-SARDINA;63432,5;30943,99
No ;10/01/2017;ANE-BOQUERON;64220,69;23392,82
No ;10/01/2017;PIL-SARDINA;35088;20742,04
No ;11/01/2017;PIL-SARDINA;42169,23;34800,89
No ;12/01/2017;ANE-BOQUERON;12455,77;3223,24
No ;12/01/2017;PIL-SARDINA;29937,1;19697,63
No ;13/01/2017;ANE-BOQUERON;672,47;129,69
No ;13/01/2017;PIL-SARDINA;17946,65;15168,51
No ;14/01/2017;PIL-SARDINA;1757,84;1042,28
No ;16/01/2017;ANE-BOQUERON;908,49;146,16
No ;16/01/2017;PIL-SARDINA;75654,9;32751,54
No ;17/01/2017;ANE-BOQUERON;39,48;7
No ;17/01/2017;PIL-SARDINA;29626,62;12237,89
No ;18/01/2017;ANE-BOQUERON;209,69;31,08
No ;18/01/2017;PIL-SARDINA;6092,23;3042,96
No ;19/01/2017;ANE-BOQUERON;111,99;22
No ;19/01/2017;PIL-SARDINA;52123,53;18890,77
No ;20/01/2017;ANE-BOQUERON;10808,7;1451,58
No ;20/01/2017;PIL-SARDINA;15215,06;8341,1
No ;21/01/2017;ANE-BOQUERON;768,19;100,68
No ;21/01/2017;PIL-SARDINA;1792,48;998,33
No ;23/01/2017;ANE-BOQUERON;4216,47;578,88
No ;23/01/2017;PIL-SARDINA;60758,86;23337,92
No ;24/01/2017;ANE-BOQUERON;93,55;16,98
No ;24/01/2017;PIL-SARDINA;35650,95;20426,8
No ;25/01/2017;ANE-BOQUERON;384,72;95,7
No ;25/01/2017;PIL-SARDINA;20232,37;9215,49
No ;26/01/2017;ANE-BOQUERON;4775,89;838,55
No ;26/01/2017;PIL-SARDINA;16617,76;7031,54
No ;27/01/2017;ANE-BOQUERON;30;5
No ;27/01/2017;PIL-SARDINA;16422,5;7899,51
No ;30/01/2017;ANE-BOQUERON;4128,21;630,59
No ;30/01/2017;PIL-SARDINA;32254,39;18886,06
No ;31/01/2017;ANE-BOQUERON;18629,84;3048,16
No ;31/01/2017;PIL-SARDINA;21580,56;17609,06
No ;01/02/2017;ANE-BOQUERON;9545,42;1397,42
No ;01/02/2017;PIL-SARDINA;11409,96;10113,65
No ;02/02/2017;ANE-BOQUERON;5924,61;701,27
No ;02/02/2017;PIL-SARDINA;9744,7;6648,58
No ;03/02/2017;ANE-BOQUERON;4942,12;690,62
No ;03/02/2017;PIL-SARDINA;15463,44;6497,84
No ;04/02/2017;PIL-SARDINA;1629,83;614,46
No ;06/02/2017;ANE-BOQUERON;3,51;2,74
No ;06/02/2017;PIL-SARDINA;51460,06;17795,99
No ;07/02/2017;ANE-BOQUERON;5,95;1,6
No ;07/02/2017;PIL-SARDINA;12379,65;5586,32
No ;08/02/2017;ANE-BOQUERON;3306,67;663,55
No ;08/02/2017;PIL-SARDINA;21916,63;8332,45
No ;09/02/2017;ANE-BOQUERON;6631,16;1141,69
No ;09/02/2017;PIL-SARDINA;18068,82;6427,11
No ;10/02/2017;ANE-BOQUERON;3717,79;536,96
No ;10/02/2017;PIL-SARDINA;16929,07;7749,15
No ;13/02/2017;ANE-BOQUERON;1331,62;176,4
No ;13/02/2017;PIL-SARDINA;34731,11;15121,24
No ;14/02/2017;ANE-BOQUERON;5532,84;765,5
No ;14/02/2017;PIL-SARDINA;22690,94;12263,18
No ;15/02/2017;ANE-BOQUERON;16838,5;3541,92
No ;15/02/2017;PIL-SARDINA;13875,14;8600,18
No ;16/02/2017;ANE-BOQUERON;7,22;4,1
No ;16/02/2017;PIL-SARDINA;6847,97;3330,36
No ;17/02/2017;PIL-SARDINA;6958,77;5124,07
No ;20/02/2017;PIL-SARDINA;9189,18;2994,71
No ;21/02/2017;PIL-SARDINA;3339,11;1864,97
No ;22/02/2017;PIL-SARDINA;24627,99;12106,08
No ;23/02/2017;ANE-BOQUERON;6202,78;884,99
No ;23/02/2017;PIL-SARDINA;12094,33;7823,06
No ;24/02/2017;ANE-BOQUERON;1051,53;195,65
No ;24/02/2017;PIL-SARDINA;20659,88;8925,73
No ;25/02/2017;PIL-SARDINA;135,02;78,5
No ;27/02/2017;ANE-BOQUERON;1385,9;140,7
No ;27/02/2017;PIL-SARDINA;15417,21;4851,16
No ;28/02/2017;ANE-BOQUERON;9112,78;1469,88
No ;28/02/2017;PIL-SARDINA;32275,17;8106,25
No ;01/03/2017;ANE-BOQUERON;26627,75;5215,14
No ;01/03/2017;PIL-SARDINA;16249,08;11336,88
No ;02/03/2017;ANE-BOQUERON;2285,14;546,24
No ;02/03/2017;PIL-SARDINA;8656,97;6298,88
No ;03/03/2017;ANE-BOQUERON;177,22;46,8
No ;03/03/2017;PIL-SARDINA;5868,23;4621,83
No ;06/03/2017;ANE-BOQUERON;5,64;1,92
No ;06/03/2017;PIL-SARDINA;7006,06;2583,87
No ;07/03/2017;ANE-BOQUERON;25026,63;4394,52
No ;07/03/2017;PIL-SARDINA;13715,1;11350,08
No ;08/03/2017;ANE-BOQUERON;25104,61;5903,94
No ;08/03/2017;PIL-SARDINA;4499,58;3708,98
No ;09/03/2017;ANE-BOQUERON;29709,93;8732,21
No ;09/03/2017;PIL-SARDINA;7775,31;5881,93
No ;10/03/2017;ANE-BOQUERON;13314,15;4498,87
No ;10/03/2017;PIL-SARDINA;3565,76;1786,37
No ;13/03/2017;PIL-SARDINA;24276,07;7728,66
No ;14/03/2017;PIL-SARDINA;6123,11;3351,05
No ;15/03/2017;PIL-SARDINA;387,12;256
No ;16/03/2017;PIL-SARDINA;1547,37;692,18
No ;17/03/2017;PIL-SARDINA;7173,43;2760,98
No ;20/03/2017;ANE-BOQUERON;49458,65;15385,93
No ;20/03/2017;PIL-SARDINA;17588,05;7718,57
No ;21/03/2017;ANE-BOQUERON;20728,04;6644,67
No ;21/03/2017;PIL-SARDINA;2140,43;1210,53
No ;22/03/2017;ANE-BOQUERON;19041,76;6778,48
No ;22/03/2017;PIL-SARDINA;2470,96;1368
No ;23/03/2017;ANE-BOQUERON;649,54;142,03
No ;23/03/2017;PIL-SARDINA;9263,94;5402,31
No ;24/03/2017;ANE-BOQUERON;4096,17;1522,52
No ;24/03/2017;PIL-SARDINA;7572,42;4020,25
No ;25/03/2017;ANE-BOQUERON;283,39;51
No ;27/03/2017;ANE-BOQUERON;49922,26;10348,08
No ;27/03/2017;PIL-SARDINA;13761,03;6717,66
No ;28/03/2017;ANE-BOQUERON;1536,68;296,86
No ;28/03/2017;PIL-SARDINA;4086,08;2574,82
No ;29/03/2017;ANE-BOQUERON;22785,85;6008,82
No ;29/03/2017;PIL-SARDINA;4344,63;3629,36
No ;30/03/2017;ANE-BOQUERON;6049,73;1928,1
No ;30/03/2017;PIL-SARDINA;1977,92;1579,48
No ;31/03/2017;ANE-BOQUERON;3601,82;843,78
No ;31/03/2017;PIL-SARDINA;2276,31;2107,3
No ;01/04/2017;ANE-BOQUERON;1398,9;372,81
No ;01/04/2017;PIL-SARDINA;165,83;51,66
No ;03/04/2017;ANE-BOQUERON;38581,35;8666,75
No ;03/04/2017;PIL-SARDINA;7663,11;4386,03
No ;04/04/2017;ANE-BOQUERON;23036,92;8398,25
No ;04/04/2017;PIL-SARDINA;6707,54;5228,64
No ;05/04/2017;ANE-BOQUERON;15151,74;4399,12
No ;05/04/2017;PIL-SARDINA;4916,04;3600,17
No ;06/04/2017;ANE-BOQUERON;3876,86;789,05
No ;06/04/2017;PIL-SARDINA;13775,96;7885,44
No ;07/04/2017;ANE-BOQUERON;2542,07;504,75
No ;07/04/2017;PIL-SARDINA;7814,3;5192,09
No ;08/04/2017;ANE-BOQUERON;276,83;44,45
No ;10/04/2017;ANE-BOQUERON;5821,73;901,74
No ;10/04/2017;PIL-SARDINA;17558,24;5847,98
No ;11/04/2017;ANE-BOQUERON;1578,95;254,02
No ;11/04/2017;PIL-SARDINA;25648,13;10492,46
No ;12/04/2017;ANE-BOQUERON;2655,41;552,12
No ;12/04/2017;PIL-SARDINA;15639,68;5493,8
No ;14/04/2017;PIL-SARDINA;495,95;285,24
No ;15/04/2017;ANE-BOQUERON;56,53;9,5
No ;15/04/2017;PIL-SARDINA;246,76;43,2
No ;17/04/2017;ANE-BOQUERON;761,65;120,36
No ;17/04/2017;PIL-SARDINA;33331,66;15299,81
No ;18/04/2017;ANE-BOQUERON;91,26;27,34
No ;18/04/2017;PIL-SARDINA;36171,45;22039,57
No ;19/04/2017;ANE-BOQUERON;1824,26;363,44
No ;19/04/2017;PIL-SARDINA;22497,04;15207,88
No ;20/04/2017;PIL-SARDINA;8,66;7,8
No ;24/04/2017;ANE-BOQUERON;901,75;160,7
No ;24/04/2017;PIL-SARDINA;42406,1;25150,03
No ;25/04/2017;ANE-BOQUERON;113,92;45,4
No ;25/04/2017;PIL-SARDINA;18112,6;21021,78
No ;26/04/2017;ANE-BOQUERON;24,26;7,2
No ;26/04/2017;PIL-SARDINA;7684,75;7254,21
No ;27/04/2017;ANE-BOQUERON;69,22;27,58
No ;27/04/2017;PIL-SARDINA;23249,06;11664,07
No ;28/04/2017;PIL-SARDINA;217,42;105
No ;01/05/2017;ANE-BOQUERON;2190,14;362,35
No ;01/05/2017;PIL-SARDINA;22803,62;5826,6
No ;02/05/2017;ANE-BOQUERON;15606,78;3168,55
No ;02/05/2017;PIL-SARDINA;31056,55;18487,5
No ;03/05/2017;ANE-BOQUERON;498,21;130,98
No ;03/05/2017;PIL-SARDINA;17854;18571,27
No ;04/05/2017;ANE-BOQUERON;11,86;2,98
No ;04/05/2017;PIL-SARDINA;17117,99;14619,74
No ;05/05/2017;PIL-SARDINA;20642,08;14591,78
No ;08/05/2017;ANE-BOQUERON;86,8;22,58
No ;08/05/2017;PIL-SARDINA;28589,1;18725,92
No ;09/05/2017;PIL-SARDINA;10169,12;11293,77
No ;10/05/2017;ANE-BOQUERON;3682,62;845,46
