Covid;date;specie;euros;kgs
Reference No;09/01/2017;PIL-SARDINA;37655,47;15055,34
Reference No;10/01/2017;PIL-SARDINA;41208,45;29884,03
Reference No;11/01/2017;ANE-BOQUERON;22767,86;4288,6
Reference No;11/01/2017;PIL-SARDINA;13636,23;7347,15
Reference No;12/01/2017;ANE-BOQUERON;51289,61;10756,45
Reference No;12/01/2017;PIL-SARDINA;2415,19;1624,13
Reference No;13/01/2017;ANE-BOQUERON;12302,59;2781,2
Reference No;13/01/2017;PIL-SARDINA;8049,8;3443,09
Reference No;16/01/2017;ANE-BOQUERON;6016,93;1199,81
Reference No;16/01/2017;PIL-SARDINA;56907,95;38880,59
Reference No;17/01/2017;ANE-BOQUERON;6150,15;1297,5
Reference No;17/01/2017;PIL-SARDINA;47267,78;17955,61
Reference No;18/01/2017;ANE-BOQUERON;13151,73;2949,52
Reference No;18/01/2017;PIL-SARDINA;40379,92;15073,27
Reference No;20/01/2017;ANE-BOQUERON;121,73;21,11
Reference No;20/01/2017;PIL-SARDINA;35468,93;15471
Reference No;23/01/2017;ANE-BOQUERON;4099,21;701,92
Reference No;23/01/2017;PIL-SARDINA;13969,82;3694,23
Reference No;24/01/2017;ANE-BOQUERON;16530,24;3603,35
Reference No;24/01/2017;PIL-SARDINA;38228,77;17503,45
Reference No;25/01/2017;ANE-BOQUERON;39243,86;5826,98
Reference No;25/01/2017;PIL-SARDINA;21762,61;9398,68
Reference No;26/01/2017;ANE-BOQUERON;1470,24;233,58
Reference No;26/01/2017;PIL-SARDINA;32812,16;16042,76
Reference No;30/01/2017;ANE-BOQUERON;8002,28;1041,21
Reference No;30/01/2017;PIL-SARDINA;9976,12;3501,61
Reference No;31/01/2017;ANE-BOQUERON;14320,37;1927,73
Reference No;31/01/2017;PIL-SARDINA;37938,94;24623,89
Reference No;01/02/2017;ANE-BOQUERON;3376,16;708
Reference No;02/02/2017;ANE-BOQUERON;6719,79;821,97
Reference No;03/02/2017;ANE-BOQUERON;7918,09;1081,02
Reference No;06/02/2017;ANE-BOQUERON;182273,15;43998,8
Reference No;07/02/2017;ANE-BOQUERON;170719,26;74253,97
Reference No;08/02/2017;ANE-BOQUERON;88338,81;23100,58
Reference No;09/02/2017;ANE-BOQUERON;98988,09;17820,91
Reference No;10/02/2017;ANE-BOQUERON;24866,05;11484,51
Reference No;14/02/2017;ANE-BOQUERON;65018,14;28953,68
Reference No;15/02/2017;ANE-BOQUERON;44785,35;18326,54
Reference No;17/02/2017;ANE-BOQUERON;25884,98;20204,46
Reference No;20/02/2017;ANE-BOQUERON;6873,51;1649,7
Reference No;21/02/2017;ANE-BOQUERON;2983,36;2219,2
Reference No;22/02/2017;ANE-BOQUERON;1812,61;1262,41
Reference No;23/02/2017;ANE-BOQUERON;55089,92;74254,82
Reference No;24/02/2017;ANE-BOQUERON;40023,65;23774,63
Reference No;27/02/2017;ANE-BOQUERON;15702,8;16416,3
Reference No;28/02/2017;ANE-BOQUERON;52549,36;13337,74
Reference No;01/03/2017;ANE-BOQUERON;51838,48;32185,25
Reference No;01/03/2017;PIL-SARDINA;81892,62;58156,78
Reference No;02/03/2017;ANE-BOQUERON;79676,54;47291,79
Reference No;02/03/2017;PIL-SARDINA;50873,35;65461,38
Reference No;03/03/2017;ANE-BOQUERON;77274,94;56221,81
Reference No;03/03/2017;PIL-SARDINA;29830,36;26580,99
Reference No;06/03/2017;ANE-BOQUERON;53226,96;23711,56
Reference No;06/03/2017;PIL-SARDINA;85267,09;52151,76
Reference No;07/03/2017;ANE-BOQUERON;34727,96;12996,74
Reference No;07/03/2017;PIL-SARDINA;71994,59;53064,09
Reference No;08/03/2017;ANE-BOQUERON;63520,91;25651,82
Reference No;08/03/2017;PIL-SARDINA;37989,51;51660,1
Reference No;09/03/2017;ANE-BOQUERON;30833,67;7683,36
Reference No;09/03/2017;PIL-SARDINA;41360,34;48464,49
Reference No;10/03/2017;ANE-BOQUERON;28720,16;22046,04
Reference No;10/03/2017;PIL-SARDINA;25979,72;29713,55
Reference No;13/03/2017;ANE-BOQUERON;49,85;21,12
Reference No;14/03/2017;ANE-BOQUERON;93,41;91,26
Reference No;14/03/2017;PIL-SARDINA;52010,01;25862,52
Reference No;15/03/2017;PIL-SARDINA;29058,01;19200,12
Reference No;16/03/2017;ANE-BOQUERON;210,07;46,27
Reference No;16/03/2017;PIL-SARDINA;20111,51;8194,2
Reference No;17/03/2017;ANE-BOQUERON;239,36;54,4
Reference No;17/03/2017;PIL-SARDINA;30189,53;18931,55
Reference No;20/03/2017;ANE-BOQUERON;43449,12;31738,79
Reference No;20/03/2017;PIL-SARDINA;64081,55;27498,69
Reference No;21/03/2017;ANE-BOQUERON;27980,86;13344,71
Reference No;21/03/2017;PIL-SARDINA;46585,14;32508,88
Reference No;22/03/2017;ANE-BOQUERON;4757,24;1291,01
Reference No;22/03/2017;PIL-SARDINA;31248,72;20802,32
Reference No;23/03/2017;ANE-BOQUERON;10606,23;1752,17
Reference No;23/03/2017;PIL-SARDINA;38278,5;28212,73
Reference No;24/03/2017;ANE-BOQUERON;56794,55;25235,28
Reference No;24/03/2017;PIL-SARDINA;22130,92;22901,73
Reference No;28/03/2017;ANE-BOQUERON;14449,03;4998,89
Reference No;28/03/2017;PIL-SARDINA;79263,27;86258,59
Reference No;29/03/2017;ANE-BOQUERON;22604,48;31813,37
Reference No;29/03/2017;PIL-SARDINA;36463,05;43842,93
Reference No;30/03/2017;ANE-BOQUERON;19541,06;14244,54
Reference No;30/03/2017;PIL-SARDINA;19582,72;16688,83
Reference No;31/03/2017;ANE-BOQUERON;32024,42;18818,47
Reference No;31/03/2017;PIL-SARDINA;4046,74;2220,96
Reference No;03/04/2017;ANE-BOQUERON;60339,01;40071,8
Reference No;03/04/2017;PIL-SARDINA;53711,98;29404,22
Reference No;04/04/2017;ANE-BOQUERON;17016,5;13834,58
Reference No;04/04/2017;PIL-SARDINA;37810,58;31766,89
Reference No;05/04/2017;ANE-BOQUERON;34881,71;32851,38
Reference No;05/04/2017;PIL-SARDINA;25910,98;17696,62
Reference No;06/04/2017;ANE-BOQUERON;12840,35;3284,58
Reference No;06/04/2017;PIL-SARDINA;33591,15;27418,59
Reference No;07/04/2017;ANE-BOQUERON;15466,85;3832,47
Reference No;07/04/2017;PIL-SARDINA;16775,36;12437,12
Reference No;10/04/2017;ANE-BOQUERON;35,07;8,66
Reference No;10/04/2017;PIL-SARDINA;38839,2;8042,71
Reference No;11/04/2017;ANE-BOQUERON;48291,69;14489,94
Reference No;11/04/2017;PIL-SARDINA;50387,24;28398,98
Reference No;12/04/2017;ANE-BOQUERON;26133,47;9587,23
Reference No;12/04/2017;PIL-SARDINA;24715,49;11746,71
Reference No;14/04/2017;ANE-BOQUERON;59463,55;22475
Reference No;17/04/2017;ANE-BOQUERON;101494,01;37291,44
Reference No;17/04/2017;PIL-SARDINA;39677,28;12408,71
Reference No;18/04/2017;ANE-BOQUERON;103799,49;59268,67
Reference No;18/04/2017;PIL-SARDINA;39572,97;27273,26
Reference No;19/04/2017;ANE-BOQUERON;51444,59;47128,47
Reference No;19/04/2017;PIL-SARDINA;9453,26;10098,04
Reference No;20/04/2017;ANE-BOQUERON;5385,68;3837,74
Reference No;20/04/2017;PIL-SARDINA;131,33;247,8
Reference No;24/04/2017;ANE-BOQUERON;122733,21;60108,98
Reference No;24/04/2017;PIL-SARDINA;34615,33;25938,25
Reference No;25/04/2017;ANE-BOQUERON;160226,52;98829,88
Reference No;25/04/2017;PIL-SARDINA;16836,72;19813,23
Reference No;26/04/2017;ANE-BOQUERON;87134,81;44514,06
Reference No;26/04/2017;PIL-SARDINA;18053;14455,42
Reference No;27/04/2017;ANE-BOQUERON;134946,99;56643,82
Reference No;27/04/2017;PIL-SARDINA;38335,11;34315,87
Reference No;28/04/2017;ANE-BOQUERON;67745,55;47369,08
Reference No;28/04/2017;PIL-SARDINA;42549,8;29403,59
